Artist,Track,Year,PreviousHit,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Label
roger creager,all for the sake of the song,2003,0,0.569,0.359,0,-9.188,1,0.0247,0.323,3.28e-06,0.119,0.368,80.979,0
eminem,the way i am,2000,0,0.81,0.871,4,-2.672,0,0.241,0.13,0,0.313,0.299,87.328,0
intex systems,vapour fragments,2008,0,0.463,0.532,6,-14.367,1,0.0497,0.535,0.714,0.141,0.374,182.128,0
glee cast,one love (people get ready),2010,1,0.719,0.521,10,-5.661,1,0.0696,0.275,0,0.11,0.828,80.534,1
speech,a talk with dad,2003,0,0.644,0.273,9,-19.014,1,0.531,0.965,0.00223,0.153,0.753,142.09,0
t-pain,reverse cowgirl,2010,0,0.482,0.67,1,-6.373,1,0.0409,0.00829,0,0.181,0.367,129.869,1
britney spears,someday (i will understand),2005,0,0.523,0.561,0,-9.444,0,0.0275,0.732,2.55e-05,0.126,0.176,135.972,0
jennifer hanson,beautiful goodbye,2003,0,0.623,0.878,2,-3.662,1,0.0372,0.146,0.00191,0.137,0.608,113.225,1
hannah montana,he could be the one,2009,1,0.602,0.894,4,-3.975,1,0.032,0.00154,0,0.433,0.643,125.988,1
tom petty and the heartbreakers,mary janes last dance,2000,1,0.402,0.814,10,-4.954,1,0.14,0.0383,1.19e-06,0.266,0.516,170.02,1
neviss,epilog,2003,0,0.814,0.0649,0,-24.801,0,0.951,0.934,0.0209,0.587,0.73,100.539,0
kathy mattea,standing knee deep in a river (dying of thirst),2006,0,0.479,0.272,0,-12.446,1,0.032,0.627,3.51e-06,0.136,0.341,132.545,0
lollipop lust kill,bury you,2002,0,0.322,0.959,5,-4.951,1,0.117,0.000309,0.00304,0.0912,0.435,154.289,0
chante moore,straight up,2000,0,0.868,0.862,1,-3.588,1,0.133,0.248,0.000202,0.0478,0.944,99.999,1
adrienne pierce,laundry & dishes,2007,0,0.497,0.362,9,-7.671,1,0.0252,0.374,1.11e-05,0.105,0.142,152.027,0
zombie girl,we are the ones (lounge version),2007,0,0.711,0.635,5,-7.609,0,0.0328,0.02,0.225,0.357,0.47,123.018,0
faith hill,sunshine and summertime,2005,1,0.638,0.807,1,-6.489,1,0.032,0.0731,0,0.0594,0.778,118.997,1
janet jackson,greatest x,2008,1,0.678,0.686,1,-7.327,1,0.0363,0.135,0,0.187,0.561,114.032,0
bruce springsteen,girls in their summer clothes,2007,0,0.439,0.76,0,-4.383,1,0.0316,0.0319,0,0.119,0.673,113.102,1
missy elliott,ching-a-ling,2008,1,0.713,0.632,4,-7.249,0,0.114,0.00822,1.69e-05,0.0978,0.474,99.793,1
maroon 5,through with you,2002,1,0.69,0.8,10,-5.407,0,0.044,0.0749,0,0.0848,0.663,146.147,0
hannah montana,ordinary girl,2010,1,0.427,0.849,7,-3.744,1,0.28,0.0276,0,0.264,0.382,181.744,1
theodore shapiro,gun pull,2005,0,0.201,0.0224,4,-32.218,0,0.0438,0.959,0.936,0.0759,0.0363,71.199,0
rick astley,close to you,2005,1,0.621,0.673,2,-8.215,1,0.0438,0.0179,0.0613,0.0983,0.695,87.024,0
ryan cabrera,on the way down,2004,0,0.5,0.845,1,-5.015,1,0.0369,0.00184,0,0.106,0.539,95.199,1
doyle bramhall,chateau strut,2007,0,0.462,0.779,1,-7.996,1,0.0369,0.0299,0.744,0.125,0.395,147.844,0
eminem,the way i am,2000,0,0.81,0.871,4,-2.672,0,0.241,0.13,0,0.313,0.299,87.328,0
pascal sangla,une petite pause,2010,0,0.536,0.272,9,-14.858,1,0.0281,0.511,0.873,0.0677,0.301,92.845,0
markscheider kunst,dj,2010,0,0.659,0.565,2,-13.853,1,0.125,0.0058,0.000169,0.0302,0.886,152.938,0
john williams,old man rocking chair,2004,0,0.552,0.14,4,-10.704,1,0.0648,0.72,0.832,0.13,0.579,91.456,0
snow patrol,wow,2004,0,0.48,0.923,9,-5.627,1,0.0493,5.7e-05,0.0144,0.0893,0.305,143.002,0
leo gandelman,bari bossa,2005,0,0.608,0.477,5,-13.773,0,0.0485,0.799,0.905,0.0737,0.527,157.989,0
simple plan,shut up,2004,0,0.507,0.959,1,-4.763,1,0.118,0.00104,0,0.147,0.436,165.136,1
busdriver,(bloody paw on the) kill floor,2007,0,0.768,0.836,6,-5.64,1,0.172,0.175,0,0.298,0.731,77.509,0
open hand,tough guy,2005,0,0.454,0.915,0,-6.188,1,0.0507,0.00019,0.000458,0.685,0.766,143.899,0
amorphis,crimson wave,2001,0,0.521,0.859,9,-5.805,0,0.0306,3.29e-05,0.021,0.37,0.615,108.019,0
keane,is it any wonder?,2006,0,0.495,0.945,11,-2.789,0,0.0376,5.4e-05,8.82e-05,0.296,0.772,129.386,1
mxpx,grey skies turn blue,2005,0,0.381,0.745,11,-3.388,1,0.0443,5.38e-05,0.00451,0.0502,0.768,175.321,0
rhian sheehan,existing alone,2001,0,0.24,0.488,1,-16.478,1,0.136,0.752,0.634,0.119,0.0879,128.19,0
kool savas,warum rappst du?,2000,0,0.685,0.922,11,-2.036,0,0.689,0.671,0,0.254,0.88,92.57,0
taylor swift,forever & always,2008,1,0.608,0.821,10,-4.985,1,0.0576,0.0752,0,0.11,0.544,128.042,1
arctic monkeys,from the ritz to the rubble,2006,0,0.216,0.882,11,-5.176,0,0.0439,0.00147,0,0.308,0.656,189.286,0
alicia keys,wait til you see my smile,2009,1,0.622,0.506,7,-9.469,1,0.0269,0.364,0.0395,0.103,0.069,119.942,0
sonia dersion,urgence,2004,0,0.586,0.746,8,-7.92,1,0.0391,0.0726,0.000179,0.106,0.472,174.047,0
nelly furtado,say it right,2006,1,0.871,0.873,1,-6.234,1,0.13,0.0488,0.000747,0.0532,0.813,116.945,1
fantasia,when i see u,2006,1,0.569,0.596,8,-6.486,1,0.171,0.457,8.99e-05,0.205,0.757,93.134,1
a perfect circle,weak and powerless,2003,0,0.483,0.841,1,-7.494,0,0.0523,0.000172,0.861,0.108,0.129,159.747,1
set your goals,summer jam,2009,0,0.398,0.986,8,-3.113,1,0.334,0.000112,1.75e-06,0.925,0.44,198.105,0
ashlee simpson,l.o.v.e.,2005,1,0.592,0.818,5,-3.33,0,0.0643,0.0034,0.000649,0.622,0.926,191.917,1
beyonce,get me bodied,2006,1,0.865,0.829,0,-6.981,0,0.315,0.0673,0,0.253,0.651,96.511,1
africando all stars,mopao,2000,0,0.671,0.666,0,-8.114,1,0.0426,0.637,0.00181,0.0918,0.933,167.666,0
garth brooks,do what you gotta do,2010,1,0.601,0.485,2,-11.956,1,0.0337,0.298,0.000217,0.297,0.437,132.892,1
kelly clarkson,i do not hook up,2009,1,0.502,0.938,9,-3.114,1,0.13,0.00098,0,0.318,0.35,144.077,1
ten madison,cup horn,2006,0,0.721,0.855,10,-9.002,0,0.0538,0.105,0.854,0.111,0.664,95.006,0
neviss,spain,2003,0,0.454,0.708,3,-5.601,1,0.0276,0.00527,0.705,0.112,0.126,93.961,0
grizzly bear,deep blue sea (daniel rossen home recording),2007,0,0.539,0.0971,4,-12.93,1,0.0384,0.815,0.137,0.154,0.171,85.04,0
basic channel,phylyps trak ii/ii,2008,0,0.87,0.71,10,-11.631,0,0.118,1.98e-05,0.964,0.0449,0.148,127.895,0
tinariwen,assouf,2007,0,0.518,0.702,9,-6.481,1,0.0662,0.539,0.163,0.0881,0.522,81.144,0
mary black,flesh and blood,2001,0,0.74,0.581,9,-8.211,1,0.0309,0.536,0,0.08,0.562,120.164,0
shakira,poem to a horse,2001,0,0.644,0.878,11,-5.751,0,0.0377,0.027,4.2e-06,0.149,0.695,94.014,0
zombina & the skeletones,the waiting,2006,0,0.245,0.836,10,-5.264,1,0.0625,6.6e-06,0.576,0.526,0.219,93.03,0
shania twain,im gonna getcha good!,2002,1,0.723,0.789,1,-4.813,1,0.0302,0.0441,0,0.0612,0.946,124.013,1
steinski,hot spot (terrible love mix),2008,0,0.893,0.57,1,-13.036,1,0.277,0.00248,0.000405,0.0587,0.63,92.662,0
sapo,eduardo,2003,0,0.578,0.54,7,-6.123,1,0.0418,0.346,0.00286,0.0876,0.233,82.466,0
thrice,betrayal is a symptom,2002,0,0.377,0.965,8,-5.54,1,0.0879,0.000252,8.26e-06,0.0797,0.404,110.163,0
aaron watson,whiskey on the fire,2008,0,0.697,0.589,2,-8.199,1,0.0302,0.282,0,0.157,0.69,130.928,0
vanilla ice,cool as ice (everybody get loose),2001,1,0.775,0.951,7,-9.318,1,0.0722,0.0117,0.015,0.285,0.445,113.896,1
glee cast,taking chances,2009,1,0.261,0.501,7,-7.805,1,0.0407,0.0899,0,0.154,0.363,174.728,1
atb,marrakech,2004,0,0.537,0.955,10,-6.995,0,0.0474,0.081,0.896,0.67,0.383,132.979,0
sandi thom,i wish i was a punk rocker (with flowers in my hair),2006,0,0.7,0.465,4,-6.815,1,0.358,0.544,0,0.606,0.719,108.102,0
unkle bob,what do i know,2006,0,0.545,0.536,6,-6.704,0,0.026,0.102,0.0997,0.115,0.179,124.022,0
black messiah,gullveig,2009,0,0.558,0.969,9,-5.069,1,0.0649,0.00124,0.0735,0.334,0.541,124.019,0
missy elliott,we run this,2005,1,0.745,0.898,9,-4.544,1,0.234,0.187,0,0.712,0.778,109.614,1
the offspring,defy you,2005,1,0.491,0.841,11,-3.651,0,0.0387,0.000609,2.4e-06,0.131,0.669,92.296,1
line renaud,gwendolina,2010,0,0.743,0.648,7,-4.802,1,0.0423,0.908,0,0.206,0.828,137.359,0
the strokes,between love & hate,2003,0,0.453,0.61,9,-4.935,1,0.0254,5.35e-05,0.545,0.101,0.525,104.188,0
beherit,suck my blood,2009,0,0.21,0.857,2,-5.798,1,0.0796,2.14e-05,0.0998,0.464,0.0978,149.739,0
galactic,think back,2007,0,0.862,0.86,11,-5.416,0,0.238,0.0357,0.00089,0.748,0.785,104.209,0
vhs or beta,new day rising,2004,0,0.658,0.597,7,-10.064,1,0.0367,8.55e-05,0.552,0.124,0.403,131.833,0
mad lion,take it easy,2009,0,0.945,0.67,5,-12.821,0,0.222,0.631,0,0.199,0.599,99.357,1
george strait,the breath you take,2009,1,0.475,0.393,11,-7.628,0,0.029,0.749,0.000409,0.122,0.315,132.128,1
usher,papers,2010,1,0.802,0.556,1,-5.395,1,0.0418,0.0339,0,0.0958,0.158,120.047,1
nickelback,never gonna be alone,2008,1,0.544,0.802,4,-4.152,1,0.0282,0.00155,7.34e-05,0.122,0.59,130.022,1
gorillaz,november has come,2005,0,0.702,0.567,7,-8.561,1,0.239,0.0815,2.75e-05,0.0864,0.667,84.153,0
pyranja,nie wieder (live version),2006,0,0.474,0.833,4,-5.789,0,0.206,0.00794,0,0.355,0.654,171.737,0
paul brown,old friends,2005,0,0.737,0.446,7,-9.029,0,0.0361,0.646,0.329,0.316,0.611,91.989,0
pascal sangla,assis par terre,2010,0,0.524,0.531,4,-10.911,1,0.0366,0.576,0.000412,0.0625,0.605,90.098,0
jesse malin and the st. marks social,revelations,2010,0,0.475,0.925,9,-4.79,1,0.0525,0.0145,0.000167,0.0611,0.376,126.028,0
k.d. lang,hallelujah (vancouver winter 2010 version),2010,0,0.256,0.219,1,-9.617,0,0.0354,0.869,5.09e-05,0.108,0.098,172.686,1
anthony blea y su charanga,tumba randy,2004,0,0.572,0.857,2,-5.194,0,0.0423,0.255,0.321,0.0369,0.764,100.003,0
busta rhymes,we got what you want,2001,0,0.617,0.462,11,-5.311,1,0.49,0.00331,0,0.12,0.805,80.845,0
gerald clayton,all of you,2009,0,0.384,0.287,0,-17.13,1,0.0492,0.0829,0.763,0.119,0.187,77.052,0
usher,burn,2004,1,0.796,0.477,1,-7.161,1,0.108,0.314,0,0.12,0.685,119.928,1
bongzilla,666lb. bongsession,2002,0,0.293,0.779,4,-6.717,1,0.0574,0.00404,0.817,0.134,0.172,132.29,0
kid cudi,day n nite,2009,0,0.878,0.446,11,-6.362,0,0.0635,0.503,6.32e-06,0.117,0.805,138.035,1
nelly,(hot s**t) country grammar,2000,0,0.889,0.643,2,-6.695,1,0.149,0.0171,0,0.236,0.641,81.371,1
the balustrade ensemble,fall away into darkness,2007,0,0.0647,0.253,11,-16.681,0,0.0387,0.492,0.673,0.207,0.0351,73.932,0
a static lullaby,god bless you (goddamn it),2005,0,0.289,0.946,0,-4.462,1,0.0758,0.00502,0.00013,0.126,0.189,161.157,0
the black eyed peas,boom boom pow,2009,1,0.869,0.851,9,-6.201,1,0.0827,0.15,0.000873,0.136,0.395,130.09,1
beyonce,sweet dreams,2008,1,0.694,0.825,1,-5.986,1,0.111,0.0895,1.86e-05,0.0618,0.788,121.949,1
m2m,mirror mirror,2000,0,0.696,0.685,1,-5.53,0,0.0246,0.218,0,0.0988,0.507,100.088,1
lifehouse,better luck next time,2005,1,0.482,0.844,4,-3.926,1,0.0277,0.000325,0,0.156,0.555,81.987,0
novika,mikawa miya,2006,0,0.624,0.601,0,-9.767,1,0.05,0.178,0.00324,0.201,0.52,90.002,0
the maine,you left me,2008,0,0.566,0.813,0,-4.844,1,0.0369,0.00144,0.000105,0.176,0.341,129.998,0
humanzi,fix the cracks,2008,0,0.384,0.858,10,-3.807,1,0.0373,0.000184,0.318,0.0781,0.349,158.905,0
m.i.k.e.,hollow dream,2006,0,0.619,0.365,6,-11.311,1,0.0649,0.0029,0.932,0.0734,0.277,134.991,0
avant,read your mind,2003,1,0.75,0.391,8,-7.087,0,0.0831,0.277,5.99e-06,0.0759,0.711,146.191,1
george lopez,kids in the store,2003,0,0.386,0.736,10,-14.317,1,0.946,0.851,0,0.914,0.354,75.839,0
